"or","de","Time","acm_id","sch_id"
"91733","1200+Plaza+del+Sol+Los+Angeles+CA+90033",1207,33,18
"91733","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",2019,33,20
"91733","3201+W.+8th+St.+Los+Angeles+CA+90010",2045,33,21
"91733","1700+W+46TH+ST+Los+Angeles+CA+90062",2190,33,22
"91733","456+S+Mathews+St+Los+Angeles+CA+90033",995,33,23
"91733","1921+S+Maple+Ave.+Los+Angeles+CA+90011",1427,33,25
"91733","725+S.+Indiana+St.+Los+Angeles+CA+90023",824,33,26
"91733","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",2096,33,27
"91733","144+E+118th+St+Los+Angeles+CA+90061",2015,33,28
"91733","1940+E+111TH+St.+LOS+ANGELES+CA+90059",1699,33,29
"91733","322+LUCAS+AVELOS+ANGELES+CA+90017",1788,33,30
"91733","322+LUCAS+AVELOS+ANGELES+CA+90017",1788,33,31
"91733","322+LUCAS+AVELOS+ANGELES+CA+90017",1788,33,32
"91733","322+LUCAS+AVELOS+ANGELES+CA+90017",1788,33,33
"90017","147+E.+107th+Street+Los+Angeles+CA+90003",963,162,1
"90017","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",1115,162,2
"90017","405+E+122nd+St+Los+Angeles+Ca+90061",1200,162,3
"90017","330+E.+93rd+St+Los+Angeles+CA+90003",1054,162,4
"90017","1575+W+2nd.+ST+Los+Angeles+CA+90026",214,162,5
"90017","1575+W+2nd.+ST+Los+Angeles+CA+90026",214,162,24
"90017","4410+McKinley+Ave+Los+Angeles+CA+90011",803,162,6
"90017","3500+S.+Hill+St.+Los+Angeles+CA+90007",588,162,8
"90017","1515+E.+104th+St.+Los+Angeles+CA+90002",1244,162,9
"90017","234+E+112TH+ST+LOS+ANGELES+CA+90061",1015,162,10
"90017","2510+E.+Sixth+St.+Los+Angeles+CA+90023",868,162,11
"90017","1319+E+41st+St.+Los+Angeles+Ca+90011",882,162,12
"90017","1319+E+41st+St.+Los+Angeles+Ca+90011",882,162,19
"90017","650+S.+Union+Ave.+Los+Angeles+CA+90017",64,162,13
"90017","2265+E.+103rd+St+Los+Angeles+CA+90002",1336,162,14
"90017","325+E+111th+St+Los+Angeles+CA+90061",1061,162,15
"90017","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",633,162,16
